f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127
6.176688,-11.3994875,-8.721789,5.23468,0.40344262,2.2062278,-6.8658123,0.091569826,10.70322,1.8129655,0.491431,-1.8820496,-1.6236966,-10.564365,2.455718,3.826111,-8.160102,-4.510884,-5.4172125,-3.944303,0.4052492,-11.159401,1.551405,3.3236833,-1.3150337,-13.616518,-4.7572713,6.2585816,-14.96731,-1.5163145,-6.3513284,3.458206,-2.4256706,0.094287924,2.7980325,9.663478,-1.6034813,2.6430893,-6.4054775,5.72224,-2.936003,-2.916322,0.8633703,-7.7218676,0.75688344,4.575097,2.2600017,-8.814705,-0.43935508,2.7003725,-9.066477,-5.5921493,4.003229,3.1541927,3.1784923,10.143102,0.18679035,2.2153232,12.751608,-0.6083742,-4.694351,0.96879315,1.7095535,-4.2936034,-5.4304624,10.1534395,1.6788423,-6.161536,2.8948462,-1.1217395,-0.16984877,3.1965444,-5.140422,2.4809523,9.987972,1.470216,-0.12719035,-1.6035962,-2.3312857,-0.7570387,-0.6495447,3.8895829,-8.820877,4.9154625,-3.2942145,2.8353148,-6.490191,6.1899033,5.5060077,6.224397,-8.061548,2.2979162,-0.012236398,-8.989574,-1.3370779,1.299658,1.3306873,0.95784175,1.4624686,7.0010715,7.556597,-14.777065,-0.36060822,-1.6055348,-8.736438,1.0762508,5.649382,-7.2212176,0.5150768,-4.850028,-2.851584,10.075077,-3.6355262,1.2657074,-9.586052,10.116614,3.2835627,-0.8504787,3.17627,-6.357869,6.0616727,-1.3369963,-2.7295113,-4.2837114,-3.1792276,3.7525358,0.8994644,3.1974633
1.225643,-0.2736975,-8.356774,-2.0915606,-1.8366545,-0.9775293,-2.1419191,-2.927263,-0.6920726,1.4242162,-0.71870655,-1.9135005,-0.28294444,-10.474495,4.278523,0.7107776,0.9227052,5.6040826,-8.347168,-9.492891,1.9972118,-0.11381325,-0.066492274,-3.236271,3.7485757,5.7374887,3.0222125,-2.5653014,-9.436816,4.239189,6.8347163,3.02711,-5.453992,3.8585787,4.1578555,7.730345,-4.9648943,-1.0101192,4.146664,-0.25349623,-6.2403293,0.8593225,3.189738,0.05762524,1.574168,0.048846886,8.000378,-3.4902992,-1.730899,0.49548325,3.8613002,-7.8655767,-6.0255685,-9.767106,-0.5152447,-4.6020555,-3.5087192,3.1107032,-1.7878803,0.77062345,-1.591368,3.1281729,1.5488926,-2.9812856,-1.728433,5.7684445,1.317055,-5.535014,4.403718,-5.032949,6.9892664,3.9913049,2.7714002,0.5770599,-0.14489877,6.329415,-1.7472517,3.2624655,2.084167,-1.5304699,-3.1842961,-6.284426,-4.863213,-8.552117,2.0399637,9.9669,9.71188,-7.230789,2.9900105,6.529353,-2.8739007,-0.02582109,-10.095215,1.776678,-4.5060143,-0.04615915,-7.0026846,1.829664,6.1402593,-3.6645076,-7.1352196,-10.02842,-3.2043412,-2.3700566,-7.9244533,2.3472426,-1.9919605,-3.9299195,-1.726419,5.5137515,3.5762908,-1.395102,2.8061457,-6.4839654,-1.5602537,-0.38588506,-2.53526,1.9391254,-2.0380263,2.0226054,2.8323221,-16.03428,5.4430337,-17.814888,-4.067543,3.4134042,-0.5516975,-7.7747703
-3.3933864,-5.6534667,2.0961826,-7.5280323,2.9376998,0.058536865,-1.3556863,8.0321245,-2.9617765,9.321679,0.5163147,-5.8220987,0.5876234,-4.8318152,-3.7632587,1.1664608,2.4360147,-3.3700683,6.73699,6.2012815,6.8346157,1.606628,5.6655188,-8.003374,-1.1393629,-2.9141502,0.88072807,-4.9363885,-1.2337956,9.023955,-0.053463787,4.101041,-0.47013772,0.49330074,0.39001602,3.7235725,5.4764457,8.841126,2.18626,4.0952425,-4.6341195,-2.1665998,4.6293583,4.3652415,0.78087753,4.279694,3.6704278,5.1779084,2.802543,-2.427638,1.5085633,-14.394793,1.2917721,-18.650938,-7.062536,2.0587995,3.3566272,-7.0151443,-4.2012863,5.4757223,-2.8078938,11.943267,0.14655799,1.5904,7.920062,1.5392671,-5.4165015,0.25757694,0.37724248,-6.659576,-0.76300424,-3.2982373,4.2545986,0.1059854,-2.221335,-1.0880157,2.0247796,1.7282724,-5.3938603,-5.4962583,5.061608,-2.6169744,-7.7678766,3.8684022,2.6429427,-9.106966,1.4227955,3.1285322,1.6838483,2.0890267,-7.381521,3.9720109,-3.0423362,-2.9876869,4.195801,8.073977,8.925078,2.9732456,-1.4358093,2.5821223,2.921895,-0.47749737,0.30609062,3.569113,-1.7147299,-4.5763974,-2.369912,2.9550235,-0.17337546,0.66644204,4.602767,-1.4679401,4.3721256,3.44698,-6.299058,8.619043,-2.3694997,-9.588541,-6.6631846,-4.3177924,-0.14717683,-2.3447313,-1.9927073,2.6197786,3.0125575,0.13626291,-0.006133534,2.542109
-0.20588134,1.6345885,-1.9747978,11.867917,-6.9760003,6.388042,7.982766,-4.753713,10.428236,4.1975245,3.9326327,-1.0600697,-0.59443533,-1.4096731,2.8936892,7.2575626,1.1684284,-4.028953,4.1857567,4.3243694,2.2509768,4.6801047,-0.23716904,-4.8014913,-3.4166799,-6.255675,2.085271,-1.6583173,-3.2865534,-13.965256,-7.8590856,5.9367194,-3.6741533,2.304795,-6.675532,7.1141458,-3.0504563,-0.56068045,12.22524,8.411889,-2.0342097,-1.1008325,-0.45708027,3.2099714,-0.6922387,-1.5109403,7.2540555,-0.88315165,12.149521,-0.6083193,7.4981933,0.6493888,2.9784548,-4.4628596,-3.7228696,2.598647,4.9275723,0.22856855,-4.3125677,-7.1066756,-5.157906,-7.6242404,1.6369236,6.3993955,0.9683469,-11.166261,0.9944443,0.1754205,11.399028,-6.062801,-1.3188698,8.070959,0.7874664,1.6896341,-0.75354683,2.9032302,6.064601,-5.6116357,5.9491096,-7.4430013,2.4869354,0.83157533,-3.1852903,-0.12246667,-3.2680988,-6.3403454,-3.850715,-5.697795,1.6077064,-5.4229465,3.0086162,-8.285259,-1.4112304,-2.9331176,6.0507045,3.635679,-0.7888123,1.3782771,-10.9097,-0.7844981,9.882235,1.4930725,-2.3633885,1.0257457,4.0172396,-9.9887,-9.079695,1.5585068,-3.993111,7.5055017,-0.9389701,-9.78895,-8.582938,-12.94761,-1.7327187,-0.03730537,-2.659876,4.8524456,7.198493,0.07657664,-10.585959,2.4056735,4.301985,1.9425316,3.521701,-5.7414722,9.283444,-4.550093
-0.8469003,-5.2930846,3.8645463,-5.808384,4.813783,14.34291,0.23984581,2.5730803,-2.7692657,-9.344246,-3.0707743,-5.680889,-8.155877,7.934719,2.0264046,1.38482,-0.3569607,-0.04018362,4.711423,-0.94917554,1.7212594,-0.07698758,-1.2184235,-9.281721,-12.023789,-2.2583354,0.9726642,-7.8261213,-0.8360181,-0.5152569,-10.5043545,-4.3400097,2.149389,2.5986183,-3.7309208,0.34160754,4.9275374,5.027432,1.065524,-2.6564536,-1.5560117,1.3350273,-0.14222227,4.695621,0.6120701,4.7004485,1.7316914,4.8029304,5.641909,-3.5310664,-8.859954,8.499866,1.3397623,-9.424241,-3.173196,1.7753162,-1.2385666,-2.456862,4.781175,-4.8469996,-4.9415197,1.6352069,1.7652833,4.6779313,2.9681032,1.3980168,1.9262295,-1.9932476,0.6860613,-1.2963803,0.75526917,2.577411,2.6872537,0.18938418,-3.4820929,0.7953999,0.33099207,0.22049522,11.242047,-3.2279766,2.1432428,6.319084,1.0724387,10.960444,-1.8669255,1.6215726,-3.88035,-2.1189203,1.3109171,5.3286605,0.89737076,5.196811,1.0650424,-1.7497858,14.07902,2.1299918,-1.7030799,-3.9098544,-4.251797,5.7110734,-1.1205399,0.023399673,-0.39630187,4.5217147,-3.6982822,-5.9375043,1.3980236,4.952627,1.6755618,-3.9237933,1.4275569,-3.2917266,-1.5372531,-4.534991,6.611376,4.547684,3.3855705,5.0455213,13.216329,-9.0458765,-4.5128345,-3.3059921,-4.5720778,-5.583207,-0.8814312,-7.0140753,2.8737817,0.7541756
-3.3732991,-4.548086,3.346343,-8.915348,2.5265598,-1.0582513,-1.3986652,8.678139,-3.7783034,12.171605,-1.2953651,-6.5270853,0.01973584,-5.489007,-2.0950818,1.9563531,3.5389118,-2.7109776,7.107053,5.6872125,7.2148776,3.753169,6.4994073,-10.226732,-0.5248902,-5.9636645,0.7343775,-2.4521277,-0.38661408,9.282093,-2.2396774,2.713093,-1.8381343,-0.46828163,0.17328705,1.5476239,5.742378,9.744891,2.444368,2.9893942,-5.542294,0.451101,3.641779,4.964872,0.5771392,5.5021334,2.4078698,4.7025557,0.41237098,-1.761018,1.3987119,-14.292597,0.4338311,-17.489758,-7.361829,2.5923274,1.798948,-5.9944468,-3.8381534,7.1557136,-1.3302393,10.034967,-0.41889417,1.6330795,7.2742057,1.5964197,-3.6845071,-2.1569762,0.33040094,-7.7888217,-2.222867,-5.978864,6.3762164,-0.7753181,-0.9351032,-1.6172831,0.36218417,3.8338544,-5.343915,-4.3559556,4.975413,-2.3916712,-6.7936954,1.8194783,0.6672934,-6.776197,-1.3913879,3.572313,1.9163417,2.3351753,-7.715826,0.9173026,-0.49655044,-2.3487368,5.067496,8.375166,6.103153,8.049899,0.47984207,1.6366214,3.938612,0.22584979,-0.888527,4.2355046,-0.59046036,-3.727615,-1.3643093,1.6230088,0.41990194,1.0804919,1.9839334,-0.8730126,1.4459277,1.186547,-5.3347034,6.883059,-1.9765983,-9.476573,-4.3791475,-5.0539346,1.7304025,-3.1711998,-0.45236987,3.3541148,1.863276,1.5201019,0.86724615,2.9183607
-1.9388988,-2.581056,3.98016,-9.22595,-0.7711411,-0.03512606,-0.8774606,8.475517,-4.4362698,10.901773,-1.4437163,-6.4355736,-0.5546155,-8.192484,-4.030533,0.5699202,1.441567,-2.027324,4.1626797,5.8305283,7.185664,3.568938,6.7264805,-8.941013,-0.62248576,-3.3438547,1.5241033,0.15714684,1.689051,11.340714,-0.41444165,1.9343832,-1.7878134,-0.36046836,-0.67370284,2.587279,7.378756,8.992706,1.9197253,0.9840828,-4.555791,0.83418256,3.1259475,3.1147377,-0.61036164,4.294912,1.9839857,5.5972605,1.781925,-0.69364357,1.5711887,-13.242898,2.0685616,-19.565893,-8.735897,2.2835279,2.9461808,-3.4500887,-3.5810125,6.6292853,-2.629631,12.169282,1.4754992,0.9839976,6.8306146,1.0033153,-7.564505,0.426164,-0.16226704,-5.3372664,-1.4784515,-4.2174077,4.8358006,-0.28910708,0.3871285,-0.61383104,2.9955196,4.198126,-3.5391936,-4.7418504,6.5787764,-3.0278265,-6.3161764,3.2679157,1.7781692,-7.5189023,0.29258662,4.956763,3.258356,2.1489055,-8.655689,1.3998796,-0.7010649,-1.4644169,3.8198974,7.6803055,7.320584,6.462498,-0.62269896,0.14564697,4.290988,0.3265999,0.8997784,2.9920285,0.027514018,-3.5572221,-2.5576634,5.3693743,0.7898525,1.0308347,3.2436864,-2.057527,4.522228,1.4378067,-6.298857,6.9423275,-0.89100015,-7.1733537,-6.213825,-5.479699,-0.21340518,-1.9214034,-0.89311194,4.317287,2.3877747,3.9831073,1.6129434,3.2020116
2.812561,-1.9766035,-1.6824635,-7.429198,-1.3467346,-0.6305748,2.0141735,-2.7809951,1.9377642,4.328397,0.59050626,2.9540098,-1.0475328,-1.4287161,-3.594171,0.99645764,1.2931718,9.279498,7.3878474,1.2420888,-2.760725,-6.037387,6.6683016,-0.36581624,3.0677931,-8.820368,5.2399054,2.1091638,-5.0821652,-2.894462,2.539402,-0.043842703,-1.0601192,-2.806705,-3.7223294,0.2922649,7.957994,-12.787953,-2.5583215,0.31063017,0.915548,-2.0618968,-8.445412,0.9169673,8.599723,-8.730829,3.6042209,-2.0658858,-1.9693718,-7.927315,-3.159299,5.397817,1.6149739,8.708164,7.0241146,3.3709493,7.7782702,0.9817494,4.4713326,-1.7589521,-0.38889453,-2.2125936,5.7385054,-6.1837006,5.0514383,-0.6907749,4.640183,4.4005466,10.607697,2.2854607,-7.7760596,-1.122889,-6.224911,-4.970499,6.6345425,3.2098384,-3.5237417,-5.267515,-0.05215907,-8.069734,-3.1096706,2.2479305,5.727866,4.8768454,-12.104391,3.423455,0.47527152,3.3142486,6.5873046,-10.697575,-3.9717803,0.19631657,-6.9238143,6.6422005,3.3301375,4.3565216,-2.8055215,3.8794842,5.4105673,1.4841954,1.7499838,2.1981106,-4.9645014,0.8715514,0.618116,0.6596981,5.465121,-6.1699495,-0.18224035,7.6165376,-3.62989,-4.625506,1.7652948,4.760775,0.49577552,6.656292,4.7844644,4.70324,3.2376075,11.173039,-1.1355013,-10.1307955,6.3980646,-3.705106,0.51822525,6.5143757,-7.7487764,-7.19122
2.3184533,-4.104596,2.7186682,1.8739421,0.014225632,6.329466,-12.746593,-8.72881,-5.2155867,-2.6039262,-2.2363741,-7.569331,-5.9210367,-4.6626244,13.231865,9.41632,-1.1172531,-1.2155522,-4.0889707,-10.131506,1.3207484,-5.753621,-0.684714,-7.1816993,-5.3211765,1.6325943,1.6250215,-0.17455561,-7.2692113,4.6881266,-4.3840256,3.5128317,-0.98855126,-7.1837564,-0.45690593,1.9508328,3.218693,-0.6252149,9.111757,4.5241218,-0.2320082,1.7616936,8.837352,8.688316,-4.656637,-5.4836574,6.959305,-4.241465,-5.627955,-0.9583112,1.7678499,-0.029596299,-2.0076714,-6.445412,-2.8074439,-4.795796,11.630843,0.3959295,4.8950634,-2.6047876,-1.3788754,-1.7434709,-14.07566,-7.396667,-9.875371,-9.674284,-6.799835,6.1884375,-0.6080581,6.46231,1.4817525,1.736753,-4.6616473,4.331134,4.460464,-4.4159274,3.313884,1.8684003,-2.5122705,-3.3887408,-5.521113,0.20746739,1.8584505,-3.0933137,-0.260076,4.214556,4.4007297,8.503949,3.9381034,-5.8522034,9.42664,-2.629718,2.4260118,-0.2822368,-1.3793428,-7.341065,-1.0747291,-8.15643,5.9486103,8.1470785,-4.9723544,2.5101123,-3.4485912,-5.4263496,1.679779,0.8727543,9.553743,-1.7935212,2.3483326,1.3799337,6.8978505,-2.712351,-2.4896364,-1.2468814,-4.472447,3.2007926,2.7839212,4.388009,7.723295,8.516185,-2.4249957,1.4136453,-3.7423298,-1.0401688,-3.6365488,8.077782,1.2191886,-1.475882
3.1810892,2.4642346,2.6149287,-0.8007103,10.691271,0.031605065,-8.335536,-5.006759,-7.8023243,1.663945,-2.012373,-4.845412,11.936766,3.776542,3.8314667,-4.326081,-2.9696546,0.079802826,-0.0814158,-8.543196,-1.3326806,1.5179454,-0.30995366,-2.2275996,-1.2011576,-1.4159354,0.6048239,2.0273933,6.297925,-2.3746712,-1.9854112,-0.057317905,4.3770356,-1.1273088,2.6465747,4.893765,7.4054255,9.101858,-4.2226987,-0.80770576,1.5755965,0.44028,-2.9042819,-6.876994,-0.70088327,-2.2689717,-0.7325388,-3.050497,-5.9525337,1.5234054,0.5984539,1.4855775,10.405292,2.2102964,3.274435,-5.1033654,-5.421706,7.2928433,-3.4140449,-5.767218,1.1776956,1.5037441,-5.50987,-1.665605,5.01803,-4.181451,-6.0750036,3.624407,1.5415316,-2.375256,-6.9167686,-4.0831075,-0.41460106,6.1775284,-5.8460975,-1.1358186,2.490187,-12.239353,5.725167,-7.7929277,2.6856132,-0.76984,5.8835874,3.726415,-13.138174,-4.079539,0.79262537,0.06545043,1.1361347,4.5998383,5.197208,-1.3584769,-8.068343,-1.3542228,1.1959233,-4.3690667,4.783234,3.7060115,1.0660621,-15.69345,-6.5534015,10.538602,-4.379611,-9.770943,5.896736,0.7443081,7.665645,-0.22239752,1.6935989,2.8809571,3.5452323,11.543312,5.217903,-7.3334494,3.5654907,7.0930142,5.3543186,-2.6430717,6.979734,6.219055,12.662377,-3.3636744,-2.2761965,-1.8856845,-1.8137723,-5.690112,-13.267103,-2.0558562
